book_names,availability,ratings,prices,categories,book_urls,book_images,source_website,scraped_at
Wall and Piece,18,Four,£44.18,Art,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,https://books.toscrape.com/,2026-08-05 09:16:03.400836+00:00
The Four Agreements: A Practical Guide to Personal Freedom,18,Five,£17.66,Spirituality,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,https://books.toscrape.com/,2026-08-05 09:16:03.841196+00:00
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,18,Three,£31.05,Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,https://books.toscrape.com/,2026-08-05 09:16:04.412960+00:00
The Elephant Tree,18,Five,£23.82,Thriller,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,https://books.toscrape.com/,2026-08-05 09:16:04.711707+00:00
The Bear and the Piano,18,One,£36.89,Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,https://books.toscrape.com/,2026-08-05 09:16:05.038873+00:00
Sophie's World,18,Five,£15.94,Philosophy,https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,https://books.toscrape.com/,2026-08-05 09:16:05.350212+00:00
Penny Maybe,18,Three,£33.29,Default,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,https://books.toscrape.com/,2026-08-05 09:16:05.795460+00:00
Maude (1883-1993):She Grew Up with the country,18,Two,£18.02,Default,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,https://books.toscrape.com/,2026-08-05 09:16:06.094139+00:00
"In a Dark, Dark Wood",18,One,£19.63,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,https://books.toscrape.com/,2026-08-05 09:16:06.421566+00:00
Behind Closed Doors,18,Four,£52.22,Thriller,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,https://books.toscrape.com/,2026-08-05 09:16:06.880994+00:00
You can't bury them all: Poems,17,Two,£33.63,Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,https://books.toscrape.com/,2026-08-05 09:16:07.311254+00:00
Slow States of Collapse: Poems,17,Three,£57.31,Poetry,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,https://books.toscrape.com/,2026-08-05 09:16:08.364500+00:00
Reasons to Stay Alive,17,Two,£26.41,Nonfiction,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,https://books.toscrape.com/,2026-08-05 09:16:08.678088+00:00
Private Paris (Private #10),17,Five,£47.61,Fiction,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,https://books.toscrape.com/,2026-08-05 09:16:08.972663+00:00
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,17,Five,£23.11,Nonfiction,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,https://books.toscrape.com/,2026-08-05 09:16:09.414383+00:00
Without Borders (Wanderlove #1),16,Two,£45.07,New Adult,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,https://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,https://books.toscrape.com/,2026-08-05 09:16:09.743640+00:00
When We Collided,16,One,£31.77,Contemporary,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,https://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,https://books.toscrape.com/,2026-08-05 09:16:10.823701+00:00
"We Love You, Charlie Freeman",16,Five,£50.27,Fiction,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,https://books.toscrape.com/,2026-08-05 09:16:11.718692+00:00
Untitled Collection: Sabbath Poems 2014,16,Four,£14.27,Poetry,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,https://books.toscrape.com/,2026-08-05 09:16:12.720450+00:00
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",16,Four,£44.18,Nonfiction,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,https://books.toscrape.com/,2026-08-05 09:16:13.280477+00:00
Unicorn Tracks,16,Three,£18.78,Fantasy,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,https://books.toscrape.com/,2026-08-05 09:16:13.819689+00:00
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",16,One,£25.52,History,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,https://books.toscrape.com/,2026-08-05 09:16:14.880020+00:00
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16,One,£16.28,Sequential Art,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,https://books.toscrape.com/,2026-08-05 09:16:15.695402+00:00
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,16,Three,£31.12,Nonfiction,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,https://books.toscrape.com/,2026-08-05 09:16:16.471137+00:00
This One Summer,16,Four,£19.49,Sequential Art,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,https://books.toscrape.com/,2026-08-05 09:16:16.887111+00:00
Thirst,16,Five,£17.27,Fiction,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,https://books.toscrape.com/,2026-08-05 09:16:17.308876+00:00
The Torch Is Passed: A Harding Family Story,16,One,£19.09,Add a comment,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg,https://books.toscrape.com/,2026-08-05 09:16:17.594918+00:00
The Secret of Dreadwillow Carse,16,One,£56.13,Childrens,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,https://books.toscrape.com/,2026-08-05 09:16:18.293340+00:00
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",16,One,£56.41,Food and Drink,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,https://books.toscrape.com/,2026-08-05 09:16:18.814703+00:00
The Past Never Ends,16,Four,£56.50,Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/,2026-08-05 09:16:19.244383+00:00
The Natural History of Us (The Fine Art of Pretending #2),16,Three,£45.22,Young Adult,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,https://books.toscrape.com/,2026-08-05 09:16:19.659428+00:00
The Nameless City (The Nameless City #1),16,Four,£38.16,Sequential Art,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,https://books.toscrape.com/,2026-08-05 09:16:21.192669+00:00
The Murder That Never Was (Forensic Instincts #5),16,Three,£54.11,Fiction,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,https://books.toscrape.com/,2026-08-05 09:16:21.751205+00:00
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,16,Four,£42.96,Science,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,https://books.toscrape.com/,2026-08-05 09:16:22.062380+00:00
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",16,Four,£23.89,Add a comment,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,https://books.toscrape.com/,2026-08-05 09:16:22.626300+00:00
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16,Three,£16.77,Nonfiction,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,https://books.toscrape.com/,2026-08-05 09:16:23.050398+00:00
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",16,Five,£20.59,Default,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,https://books.toscrape.com/,2026-08-05 09:16:23.348001+00:00
The Gutsy Girl: Escapades for Your Life of Epic Adventure,16,One,£37.13,Nonfiction,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,https://books.toscrape.com/,2026-08-05 09:16:23.757656+00:00
The Electric Pencil: Drawings from Inside State Hospital No. 3,16,One,£56.06,Nonfiction,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,https://books.toscrape.com/,2026-08-05 09:16:24.179111+00:00
The Death of Humanity: and the Case for Life,16,Four,£58.11,Philosophy,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,https://books.toscrape.com/,2026-08-05 09:16:24.595203+00:00
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",16,Three,£49.05,Health,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,https://books.toscrape.com/,2026-08-05 09:16:25.016164+00:00
The Art Forger,16,Three,£40.76,Add a comment,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,https://books.toscrape.com/,2026-08-05 09:16:25.567340+00:00
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,16,One,£19.73,History,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,https://books.toscrape.com/,2026-08-05 09:16:25.977552+00:00
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,16,Five,£32.24,Spirituality,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,https://books.toscrape.com/,2026-08-05 09:16:26.286518+00:00
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,16,Four,£41.83,Nonfiction,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,https://books.toscrape.com/,2026-08-05 09:16:26.603236+00:00
Soul Reader,16,Two,£39.58,Default,https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,https://books.toscrape.com/,2026-08-05 09:16:26.906154+00:00
Security,16,Two,£39.25,Horror,https://books.toscrape.com/catalogue/security_925/index.html,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,https://books.toscrape.com/,2026-08-05 09:16:27.212055+00:00
"Saga, Volume 6 (Saga (Collected Editions) #6)",16,Three,£25.02,Fantasy,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,https://books.toscrape.com/,2026-08-05 09:16:27.658990+00:00
"Saga, Volume 5 (Saga (Collected Editions) #5)",16,Two,£51.04,Sequential Art,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,https://books.toscrape.com/,2026-08-05 09:16:27.975459+00:00
Reskilling America: Learning to Labor in the Twenty-First Century,16,Two,£19.83,Nonfiction,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,https://books.toscrape.com/,2026-08-05 09:16:28.290194+00:00
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",16,Three,£50.40,Sequential Art,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,https://books.toscrape.com/,2026-08-05 09:16:28.584914+00:00
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",16,Five,£13.61,Sequential Art,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,https://books.toscrape.com/,2026-08-05 09:16:29.514044+00:00
Princess Between Worlds (Wide-Awake Princess #5),16,Five,£13.34,Fantasy,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,https://books.toscrape.com/,2026-08-05 09:16:29.834893+00:00
"Pop Gun War, Volume 1: Gift",16,One,£18.97,Sequential Art,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,https://books.toscrape.com/,2026-08-05 09:16:30.137598+00:00
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",16,Two,£36.28,History,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,https://books.toscrape.com/,2026-08-05 09:16:30.434635+00:00
Patience,16,Three,£10.16,Sequential Art,https://books.toscrape.com/catalogue/patience_916/index.html,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,https://books.toscrape.com/,2026-08-05 09:16:30.762794+00:00
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",16,Four,£15.44,Sequential Art,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,https://books.toscrape.com/,2026-08-05 09:16:31.075637+00:00
